Time,Residual_0,Residual_1,Residual_2,Residual_3,cl,cd,cm,
1.9596946870000000e+00,3.4169404794934856e-04,2.5152378268751969e-04,2.2417694614542945e-04,1.1191674408759791e-03,3.9726480180218765e-01,8.8595334065038941e-03,-6.8110518806779180e-02,
1.9760444280000000e+00,3.4215705640993217e-04,2.4669385409148816e-04,2.2951889026695034e-04,1.1247758430676727e-03,4.0153639055095658e-01,9.3825003050157230e-03,-6.8199444764997494e-02,
1.9923956580000000e+00,3.4263037686238333e-04,2.4281331431849645e-04,2.2982566012874381e-04,1.1295291162493500e-03,4.0592770278634904e-01,9.6315124193359445e-03,-6.8097391304160135e-02,
2.0093834209999999e+00,3.4224120073899679e-04,2.4223247666505876e-04,2.2470645522675706e-04,1.1301549267081963e-03,4.1024786909232785e-01,9.5197544362860924e-03,-6.7866203394568822e-02,
2.0264957490000000e+00,3.4130471451628377e-04,2.4650541745239535e-04,2.1547426654522109e-04,1.1285492168880890e-03,4.1429137684129758e-01,8.9930378773106449e-03,-6.7579700592497932e-02,
2.0427283959999998e+00,3.4125457008409358e-04,2.5488047692490720e-04,2.0527116136012332e-04,1.1311771936098271e-03,4.1786005698572515e-01,8.0467198092302496e-03,-6.7307576957540999e-02,
2.0587875769999999e+00,3.4366736087327931e-04,2.6434603375488506e-04,1.9819626645281189e-04,1.1447000720598381e-03,4.2078201370947832e-01,6.7357153819861577e-03,-6.7100443340947724e-02,
2.0751127349999998e+00,3.4894604447068797e-04,2.7119919784270263e-04,1.9725253108013007e-04,1.1703934205052708e-03,4.2292588687358701e-01,5.1743503306806212e-03,-6.6979369205881420e-02,
2.0914990439999999e+00,3.5554953284973724e-04,2.7281988177612081e-04,2.0247469622405466e-04,1.2013114999423653e-03,4.2421161470253904e-01,3.5247522856671622e-03,-6.6932266545940977e-02,
2.1076260160000002e+00,3.6033007783689352e-04,2.6876595474466898e-04,2.1131254352670356e-04,1.2242843552231850e-03,4.2461788509968557e-01,1.9752142412585998e-03,-6.6917903199984349e-02,
2.1237306089999999e+00,3.5984380583982715e-04,2.6102841365761961e-04,2.2078971320983425e-04,1.2254974403448952e-03,4.2418504739621116e-01,7.1206822009201390e-04,-6.6876388361981343e-02,
2.1401715430000001e+00,3.5206434148340353e-04,2.5338500041781418e-04,2.2901403894980948e-04,1.1970863734883598e-03,4.2301282019993658e-01,-1.0997685856677023e-04,-6.6743549015961176e-02,
2.1563809250000001e+00,3.3793545427614880e-04,2.4975724002376521e-04,2.3510806302142059e-04,1.1429271449322374e-03,4.2125232876335389e-01,-3.9367975627522682e-04,-6.6465822944810238e-02,
2.1732306810000002e+00,3.2219250612105865e-04,2.5203147484274293e-04,2.3830677584594565e-04,1.0819262856927784e-03,4.1909200771714195e-01,-1.1640382344199661e-04,-6.6012382001104306e-02,
2.1895250709999998e+00,3.1237139605706646e-04,2.5887590735234082e-04,2.3735859669576575e-04,1.0444819979417968e-03,4.1673784682246645e-01,6.6486895556583446e-04,-6.5381964423533223e-02,
2.2064744930000000e+00,3.1471586079606336e-04,2.6671101906530195e-04,2.3093819596722807e-04,1.0557509611106252e-03,4.1438972652100736e-01,1.8220686875020722e-03,-6.4603236002473377e-02,
2.2230487910000001e+00,3.2888896323196121e-04,2.7187520196812471e-04,2.1899395823363099e-04,1.1133671029722463e-03,4.1221738903015903e-01,3.1770016934742551e-03,-6.3728969417893799e-02,
2.2390470790000001e+00,3.4741930547724638e-04,2.7232545878950126e-04,2.0433969351720048e-04,1.1863290429885251e-03,4.1034013863073043e-01,4.5314145801576937e-03,-6.2825640913220460e-02,
2.2553403200000002e+00,3.6063831664687922e-04,2.6827964642212867e-04,1.9330194176697400e-04,1.2364656414925485e-03,4.0881390661785888e-01,5.7007995367028361e-03,-6.1960771161217648e-02,
2.2715060839999999e+00,3.6165550659782582e-04,2.6192066709437623e-04,1.9322891290293084e-04,1.2375437691190233e-03,4.0762866840628437e-01,6.5453987235362873e-03,-6.1190716083853236e-02,
2.2875814229999998e+00,3.4885657487048410e-04,2.5629829011231429e-04,2.0633744341453405e-04,1.1836914842532982e-03,4.0671767173923262e-01,6.9920197023766485e-03,-6.0551563024531470e-02,
2.3038385990000001e+00,3.2664634222155946e-04,2.5367954861337758e-04,2.2685608356658282e-04,1.0918784906427095e-03,4.0597757072820734e-01,7.0419688576130101e-03,-6.0054972154059728e-02,
