face, ghostCell, u_BI, v_BI, cx, cy, u_mirror, v_mirror, x_mirror, y_mirror
196370, 98296, 0.0938997, -0.216182, 0.00140212, -0.00656276, 0.0938908, -0.216186, -0.00219576, -0.00812552
196545, 97940, 0.58238, 0.0733099, 0.885069, -0.015547, 0.58238, 0.0733104, 0.885138, -0.016094
196548, 98385, 0.582108, 0.0743628, 0.896168, -0.0141406, 0.582107, 0.0743706, 0.897335, -0.0232811
196550, 98386, 0.581893, 0.0751879, 0.906018, -0.0128761, 0.581892, 0.0751947, 0.907035, -0.0207523
196552, 98387, 0.581679, 0.0759966, 0.915862, -0.0115971, 0.581678, 0.0760023, 0.916724, -0.0181943
196554, 98388, 0.581415, 0.0769825, 0.925702, -0.0103031, 0.581414, 0.0769872, 0.926404, -0.0156062
196556, 98389, 0.581207, 0.0777498, 0.935534, -0.0089943, 0.581207, 0.0777534, 0.936069, -0.0129886
196558, 98390, 0.580952, 0.0786799, 0.945362, -0.00767002, 0.580952, 0.0786823, 0.945723, -0.01034
196560, 98391, 0.580655, 0.0797495, 0.955183, -0.00633018, 0.580655, 0.0797507, 0.955365, -0.00766037
197256, 98296, 0.0938997, -0.216182, 0.00140212, -0.00656276, 0.0938908, -0.216186, -0.00219576, -0.00812552
197448, 98391, 0.580655, 0.0797495, 0.955183, -0.00633018, 0.580655, 0.0797507, 0.955365, -0.00766037
198145, 98740, 0.0938997, 0.216182, 0.00140212, 0.00656276, 0.0939087, 0.216178, -0.00219576, 0.00812552
198148, 98740, 0.0938997, 0.216182, 0.00140212, 0.00656276, 0.0939087, 0.216178, -0.00219576, 0.00812552
198326, 98829, 0.582108, -0.0743628, 0.896168, 0.0141406, 0.582109, -0.074355, 0.897335, 0.0232811
198328, 98830, 0.581893, -0.0751879, 0.906018, 0.0128761, 0.581894, -0.0751811, 0.907035, 0.0207523
198330, 98831, 0.581679, -0.0759966, 0.915862, 0.0115971, 0.58168, -0.0759908, 0.916724, 0.0181943
198332, 98832, 0.581415, -0.0769825, 0.925702, 0.0103031, 0.581416, -0.0769778, 0.926404, 0.0156062
198334, 98833, 0.581207, -0.0777498, 0.935534, 0.0089943, 0.581208, -0.0777463, 0.936069, 0.0129886
198336, 98834, 0.580952, -0.0786799, 0.945362, 0.00767002, 0.580952, -0.0786775, 0.945723, 0.01034
198337, 98835, 0.580655, -0.0797495, 0.955183, 0.00633018, 0.580655, -0.0797483, 0.955365, 0.00766037
198338, 98835, 0.580655, -0.0797495, 0.955183, 0.00633018, 0.580655, -0.0797483, 0.955365, 0.00766037
199036, 99185, 0.386262, 0.281633, 0.0122562, 0.0187631, 0.386271, 0.281621, 0.00951245, 0.0225262
199039, 99185, 0.386262, 0.281633, 0.0122562, 0.0187631, 0.386271, 0.281621, 0.00951245, 0.0225262
199199, 99265, 0.583804, -0.0674966, 0.816027, 0.0238801, 0.583805, -0.0674897, 0.817053, 0.0327601
199201, 99266, 0.583585, -0.0684259, 0.825906, 0.0227307, 0.583586, -0.0684199, 0.826813, 0.0304613
199203, 99267, 0.58342, -0.0691146, 0.835778, 0.0215679, 0.583421, -0.0691094, 0.836556, 0.0281357
199205, 99268, 0.583201, -0.0700219, 0.845647, 0.0203913, 0.583201, -0.0700176, 0.846295, 0.0257826
199207, 99269, 0.583036, -0.0706942, 0.855509, 0.0192012, 0.583037, -0.0706908, 0.856019, 0.0234025
199209, 99270, 0.582817, -0.0715794, 0.865368, 0.0179971, 0.582817, -0.0715769, 0.865736, 0.0209941
199211, 99271, 0.582598, -0.0724514, 0.875221, 0.0167791, 0.582598, -0.07245, 0.875442, 0.0185581
199212, 99272, 0.58238, -0.0733099, 0.885069, 0.015547, 0.58238, -0.0733095, 0.885138, 0.016094
